 logg  teff   ZR    a(CHEOPS)
 logg  teff   ZR    b(CHEOPS)
 logg  Teff   ZR    mucri(Cheops) 
 logg  teff   ZR    xi(CHEOPS)
 3.50  4300.  0.0   0.70619
 3.50  4300.  0.0   0.07389
 3.50  4300.  0.0   0.09383
 3.50  4300.  0.0   0.00496
 4.00  4300.  0.0   0.70342
 4.00  4300.  0.0   0.06219
 4.00  4300.  0.0   0.06894
 4.00  4300.  0.0   0.00445
 4.50  4300.  0.0   0.64791
 4.50  4300.  0.0   0.11055
 4.50  4300.  0.0   0.05285
 4.50  4300.  0.0   0.00454
 5.00  4300.  0.0   0.50833
 5.00  4300.  0.0   0.21642
 5.00  4300.  0.0   0.03869
 5.00  4300.  0.0   0.00950
 5.50  4300.  0.0   0.35998
 5.50  4300.  0.0   0.31718
 5.50  4300.  0.0   0.02881
 5.50  4300.  0.0   0.01831
 6.00  4300.  0.0   0.25362
 6.00  4300.  0.0   0.37503
 6.00  4300.  0.0   0.02130
 6.00  4300.  0.0   0.02565
 3.00  4400.  0.0   0.69962
 3.00  4400.  0.0   0.09637
 3.00  4400.  0.0   0.12162
 3.00  4400.  0.0   0.00563
 3.50  4400.  0.0   0.69461
 3.50  4400.  0.0   0.08138
 3.50  4400.  0.0   0.09317
 3.50  4400.  0.0   0.00501
 4.00  4400.  0.0   0.69315
 4.00  4400.  0.0   0.06949
 4.00  4400.  0.0   0.06848
 4.00  4400.  0.0   0.00473
 4.50  4400.  0.0   0.67950
 4.50  4400.  0.0   0.07803
 4.50  4400.  0.0   0.05255
 4.50  4400.  0.0   0.00379
 5.00  4400.  0.0   0.57145
 5.00  4400.  0.0   0.15948
 5.00  4400.  0.0   0.03901
 5.00  4400.  0.0   0.00580
 5.50  4400.  0.0   0.42420
 5.50  4400.  0.0   0.26757
 5.50  4400.  0.0   0.02867
 5.50  4400.  0.0   0.01379
 6.00  4400.  0.0   0.29848
 6.00  4400.  0.0   0.35203
 6.00  4400.  0.0   0.02120
 6.00  4400.  0.0   0.02228
 3.00  4500.  0.0   0.68684
 3.00  4500.  0.0   0.10354
 3.00  4500.  0.0   0.12081
 3.00  4500.  0.0   0.00551
 3.50  4500.  0.0   0.68179
 3.50  4500.  0.0   0.09130
 3.50  4500.  0.0   0.09257
 3.50  4500.  0.0   0.00534
 4.00  4500.  0.0   0.68166
 4.00  4500.  0.0   0.07665
 4.00  4500.  0.0   0.06808
 4.00  4500.  0.0   0.00463
 4.50  4500.  0.0   0.67679
 4.50  4500.  0.0   0.07477
 4.50  4500.  0.0   0.05294
 4.50  4500.  0.0   0.00391
 5.00  4500.  0.0   0.61791
 5.00  4500.  0.0   0.12858
 5.00  4500.  0.0   0.03877
 5.00  4500.  0.0   0.00414
 5.50  4500.  0.0   0.48941
 5.50  4500.  0.0   0.22544
 5.50  4500.  0.0   0.02852
 5.50  4500.  0.0   0.00999
 6.00  4500.  0.0   0.35412
 6.00  4500.  0.0   0.31134
 6.00  4500.  0.0   0.02115
 6.00  4500.  0.0   0.01753
